Incident Type,Region of Incident,Incident Year,Month,Number of Dead,Total Number of Dead and Missing,Number of Males,Region of Origin,Cause of Death,Country of Incident,Migration Route,Location of Incident,Coordinates,Source Quality,Country of Origin Code,labor_force,gdp,literacy,gini,health,political,corruption,migration,electicity,cpi,death,survival_rate,male_to_total_dead_ratio,total_incidents,total_deaths,total_dead_and_missing,year,month,day,dayofweek
Incident,North America,2014,January,1.0,1,1.0,Central America,Mixed or unknown,"Arizona, USA",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.650259, -110.366453",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,March,1.0,1,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water","Arizona, USA",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.759, -110.51916",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,Central America,2014,March,1.0,1,1.0,Central America,Vehicle accident / death linked to hazardous transport,Mexico,US-Mexico border crossing,"Comitan, Chiapas, Mexico","16.2299602, -92",1,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,July,1.0,1,1.0,Central America,Mixed or unknown,"Texas, USA",US-Mexico border crossing,"Cage Ranch, Brooks County, Texas, USA","26.990008, -98.187652",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,July,1.0,1,1.0,Central America,Mixed or unknown,"Texas, USA",US-Mexico border crossing,"Cage Ranch, Brooks County, Texas, USA","26.955738, -98.033844",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Cumulative Incident,Central America,2014,October,41.0,41,12.0,Central America,Mixed or unknown,Mexico,US-Mexico border crossing,Various locations in Mexico,"23.6345, -102.553",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,0.2926829268292683,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,February,1.0,1,1.0,Central America,Drowning,United States,US-Mexico border crossing,"Brooks county, Texas, United States of America","26.9551, -98.2349",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,February,1.0,1,0.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",United States,US-Mexico border crossing,"Brooks county, Texas, United States of America","27.2326, -98.4616",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,0.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,February,1.0,1,1.0,Central America,Drowning,United States,US-Mexico border crossing,"Hidalgo county, Texas, United States of America","26.0889, -98.2482",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,February,1.0,1,1.0,Central America,Drowning,United States,US-Mexico border crossing,"Hidalgo county, Texas, United States of America","26.0872, -98.2435",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,February,1.0,1,1.0,Central America,Mixed or unknown,United States,US-Mexico border crossing,"Kenedy county, Texas, United States of America","27.1907, -97.9588",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,February,1.0,1,1.0,Central America,Drowning,United States,US-Mexico border crossing,"Hidalgo county, Texas, United States of America","26.0724, -98.2467",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,April,1.0,1,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",United States,US-Mexico border crossing,"Kenedy county, Texas, United States of America","27.2469, -97.8543",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,April,1.0,1,1.0,Central America,Vehicle accident / death linked to hazardous transport,United States,US-Mexico border crossing,"Duval county, Texas, United States of America","27.3366, -98.2731",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,May,1.0,1,0.0,Central America,Mixed or unknown,United States,US-Mexico border crossing,"Maverick county, Texas, United States of America","28.6952, -100.3152",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,0.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,June,1.0,1,1.0,Central America,Vehicle accident / death linked to hazardous transport,United States,US-Mexico border crossing,"Jim Hogg county, Texas, United States of America","27.22355, -98.74056",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,June,1.0,1,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",United States,US-Mexico border crossing,"Hidalgo county, Texas, United States of America","26.2413, -98.5102",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,June,1.0,1,0.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",United States,US-Mexico border crossing,"Brooks county, Texas, United States of America","27.23429, -98.19378",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,0.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,June,1.0,1,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",United States,US-Mexico border crossing,"Kenedy county, Texas, United States of America","27.17071, -97.9366",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,June,1.0,1,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",United States,US-Mexico border crossing,"Brooks county, Texas, United States of America","27.13508, -98.25061",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,July,1.0,1,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",United States,US-Mexico border crossing,"Zapata county, Texas, United States of America","27.17939, -99.01109",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,July,1.0,1,0.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",United States,US-Mexico border crossing,"Brooks county, Texas, United States of America","27.1024, -98.24432",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,0.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,August,1.0,1,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",United States,US-Mexico border crossing,"Webb county, Texas, United States of America","28.01323, -99.23846",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,August,1.0,1,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",United States,US-Mexico border crossing,"Brooks county, Texas, United States of America","27.11403, -98.36024",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,August,1.0,1,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",United States,US-Mexico border crossing,"Brooks county, Texas, United States of America","27.05164, -98.32152",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,August,1.0,1,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",United States,US-Mexico border crossing,"Kenedy county, Texas, United States of America","27.16109, -97.84491",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,September,1.0,1,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",United States,US-Mexico border crossing,"Kleberg county, Texas, United States of America","27.24872, -97.87482",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,October,1.0,1,0.0,Central America,Vehicle accident / death linked to hazardous transport,United States,US-Mexico border crossing,"Hidalgo county, Texas, United States of America","26.3426, -98.5335",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,0.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,October,1.0,1,1.0,Central America,Drowning,United States,US-Mexico border crossing,"Hidalgo county, Texas, United States of America","26.1202, -98.2654",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,October,1.0,1,1.0,Central America,Drowning,United States,US-Mexico border crossing,"Starr county, Texas, United States of America","26.25371, -98.63151",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Incident,North America,2014,December,1.0,1,1.0,Central America,Vehicle accident / death linked to hazardous transport,United States,US-Mexico border crossing,"Kleberg county, Texas, United States of America","27.37481, -97.8369",5,GTM,5883588.0,5883588.0,81.2858963012695,48.3,216.79504395,-0.655563533306122,-0.756130754947662,-40409.0,85.494371,32.0,30.0,0.0,1.0,212,1071.0,2777,2014,1,1,2
Split Incident,North America,2015,February,4.0,4,1.0,Central America,Drowning,"Texas, USA",US-Mexico border crossing,"Rio Grande Sector, Texas, USA","29.7110679, -101.569381",1,GTM,6022488.0,6022488.0,81.2858963012695,48.3,233.41566467,-0.654437899589539,-0.780903100967407,-48162.0,90.5392456054688,28.0,243.8,0.0,1.0,252,8929.0,12202,2015,1,1,3
Split Incident,North America,2015,February,2.0,2,4.0,Latin America / Caribbean (P),Drowning,"Texas, USA",US-Mexico border crossing,"Rio Grande Sector, Texas, USA","29.7110679, -101.569381",1,GTM,6022488.0,6022488.0,81.2858963012695,48.3,233.41566467,-0.654437899589539,-0.780903100967407,-48162.0,90.5392456054688,28.0,243.8,0.0,2.0,252,8929.0,12202,2015,1,1,3
Incident,Central America,2015,March,9.0,9,9.0,Central America,Mixed or unknown,Unknown,US-Mexico border crossing,"Bodies found in clandestine grave in the municipality of Güémez, Tamaulipas","23.9184477, -99.007484",4,GTM,6022488.0,6022488.0,81.2858963012695,48.3,233.41566467,-0.654437899589539,-0.780903100967407,-48162.0,90.5392456054688,28.0,243.8,0.0,1.0,252,8929.0,12202,2015,1,1,3
Incident,North America,2015,June,1.0,1,9.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water","Arizona, USA",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.7126, -111.75883",5,GTM,6022488.0,6022488.0,81.2858963012695,48.3,233.41566467,-0.654437899589539,-0.780903100967407,-48162.0,90.5392456054688,28.0,243.8,0.0,1.0,252,8929.0,12202,2015,1,1,3
