Entity,Code,Year,Deaths in ongoing conflicts in a country (best estimate) - Conflict type: all
Afghanistan,AFG,2014,12499
Afghanistan,AFG,2015,17926
Afghanistan,AFG,2016,18674
Afghanistan,AFG,2017,19741
Afghanistan,AFG,2018,26822
Afghanistan,AFG,2019,30393
Afghanistan,AFG,2020,20808
Afghanistan,AFG,2021,36370
Afghanistan,AFG,2022,1498
Algeria,DZA,2014,107
Algeria,DZA,2015,128
Algeria,DZA,2016,85
Algeria,DZA,2017,98
Algeria,DZA,2018,45
Algeria,DZA,2020,30
Algeria,DZA,2021,13
Algeria,DZA,2022,10
Angola,AGO,2016,23
Angola,AGO,2017,22
Angola,AGO,2019,25
Angola,AGO,2020,21
Angola,AGO,2022,19
Armenia,ARM,2014,3
Armenia,ARM,2015,9
Armenia,ARM,2016,5
Armenia,ARM,2020,12
Armenia,ARM,2021,10
Armenia,ARM,2022,153
Australia,AUS,2018,2
Austria,AUT,2020,4
Azerbaijan,AZE,2014,43
Azerbaijan,AZE,2015,63
Azerbaijan,AZE,2016,136
Azerbaijan,AZE,2017,36
Azerbaijan,AZE,2020,7634
Azerbaijan,AZE,2021,30
Azerbaijan,AZE,2022,155
Bangladesh,BGD,2015,5
Bangladesh,BGD,2016,73
Bangladesh,BGD,2017,48
Bangladesh,BGD,2020,3
Bangladesh,BGD,2022,2
Belgium,BEL,2016,34
Belgium,BEL,2018,4
Benin,BEN,2019,1
Benin,BEN,2022,33
Bolivia,BOL,2020,1
Bolivia,BOL,2021,2
Bolivia,BOL,2022,2
Brazil,BRA,2015,65
Brazil,BRA,2016,83
Brazil,BRA,2017,2801
Brazil,BRA,2018,2372
Brazil,BRA,2019,1533
Brazil,BRA,2020,2463
Brazil,BRA,2021,2324
Brazil,BRA,2022,1480
Burkina Faso,BFA,2016,25
Burkina Faso,BFA,2017,34
Burkina Faso,BFA,2018,171
Burkina Faso,BFA,2019,1245
Burkina Faso,BFA,2020,1131
Burkina Faso,BFA,2021,1458
Burkina Faso,BFA,2022,2595
Burundi,BDI,2014,56
Burundi,BDI,2015,264
Burundi,BDI,2016,72
Burundi,BDI,2017,38
Burundi,BDI,2018,109
Burundi,BDI,2019,75
Burundi,BDI,2020,127
Burundi,BDI,2021,76
Burundi,BDI,2022,77
Cameroon,CMR,2014,1378
Cameroon,CMR,2015,1856
Cameroon,CMR,2016,501
Cameroon,CMR,2017,374
Cameroon,CMR,2018,939
Cameroon,CMR,2019,833
Cameroon,CMR,2020,781
Cameroon,CMR,2021,833
Cameroon,CMR,2022,660
Central African Republic,CAF,2014,3069
Central African Republic,CAF,2015,608
Central African Republic,CAF,2016,628
Central African Republic,CAF,2017,1756
Central African Republic,CAF,2018,612
Central African Republic,CAF,2019,339
Central African Republic,CAF,2020,212
Central African Republic,CAF,2021,971
Central African Republic,CAF,2022,754
Chad,TCD,2014,6
Chad,TCD,2015,389
Chad,TCD,2016,2
Chad,TCD,2017,88
Chad,TCD,2018,168
Chad,TCD,2019,258
Chad,TCD,2020,249
Chad,TCD,2021,666
Chad,TCD,2022,85
China,CHN,2014,23
China,CHN,2015,21
China,CHN,2016,18
China,CHN,2021,38
Colombia,COL,2014,119
Colombia,COL,2015,130
Colombia,COL,2016,29
Colombia,COL,2017,37
Colombia,COL,2018,184
Colombia,COL,2019,106
Colombia,COL,2020,114
Colombia,COL,2021,197
Colombia,COL,2022,109
Congo,COG,2016,69
Congo,COG,2019,1
Congo,COG,2022,22
Cote d'Ivoire,CIV,2016,49
Democratic Republic of Congo,COD,2014,1948
Democratic Republic of Congo,COD,2015,759
Democratic Republic of Congo,COD,2016,2142
Democratic Republic of Congo,COD,2017,5807
Democratic Republic of Congo,COD,2018,2938
Democratic Republic of Congo,COD,2019,2385
Democratic Republic of Congo,COD,2020,3841
Democratic Republic of Congo,COD,2021,3513
Democratic Republic of Congo,COD,2022,5228
Djibouti,DJI,2014,1
Djibouti,DJI,2018,6
Ecuador,ECU,2019,2
Ecuador,ECU,2021,291
Ecuador,ECU,2022,91
Egypt,EGY,2014,178
Egypt,EGY,2015,861
Egypt,EGY,2016,387
Egypt,EGY,2017,855
Egypt,EGY,2018,684
Egypt,EGY,2019,633
Egypt,EGY,2020,498
Egypt,EGY,2021,87
Egypt,EGY,2022,157
El Salvador,SLV,2022,88
Eritrea,ERI,2020,67
Eritrea,ERI,2021,80
Eritrea,ERI,2022,40
Eswatini,SWZ,2021,48
Ethiopia,ETH,2014,26
Ethiopia,ETH,2015,318
Ethiopia,ETH,2016,570
Ethiopia,ETH,2017,450
Ethiopia,ETH,2018,672
Ethiopia,ETH,2019,412
Ethiopia,ETH,2020,4819
Ethiopia,ETH,2021,13532
Ethiopia,ETH,2022,102860
France,FRA,2015,133
France,FRA,2016,87
France,FRA,2017,2
France,FRA,2018,13
Germany,DEU,2016,12
Guatemala,GTM,2019,5
Guinea,GIN,2020,30
Haiti,HTI,2018,71
Haiti,HTI,2020,162
Haiti,HTI,2021,121
Haiti,HTI,2022,235
