"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1363676996.25015","1522053333.07289","1648312494.84986","1810691879.23301","2001077313.29379","2095077029.40842","2158735270.06149","2350707816.07183","2424518584.00218","2489125251.73263","2739560355.17403","2918431004.6486","2935908008.08406","3027097934.57584","3335072772.4076","3426476107.32249","3572025352.77738","3781902067.60171","3925194449.90938","3489041117.1281","3434454562.11007","3623931877.15193","3552297907.08977","3799467166.166","3816822832.49319","3893073652.76871","3941351440.98226","4098238260.51634","4296717861.79136","4273076562.3617","3290669773.57362","4388895537.43712","5189227387.16077","",
"Africa Eastern and Southern","AFE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","563725127907.447","583548053049.876","585642742631.449","598634539885.25","623124926063.16","664665221979.032","714132318502.743","757984959794.919","780715165445.723","814218052760.916","861628270030.502","913495622004.678","964264695977.833","1015625236520.14","1101758369371.78","1207057107752.95","1327314582568.82","1454550935438.32","1549802233294.69","1571453564949.55","1671963218236.71","1774530589460.49","1776396693334.85","1896943830762.22","2030343394864.8","2104413602389.85","2219859658786.07","2307651598737.18","2427834441237.54","2527792340423.92","2492330731736.41","2721293623847.21","3016677258268.2","",
"Afghanistan","AFG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19805683002.2132","21980384805.7144","22889600503.965","26258419343.9137","28518821097.8215","33339216566.7178","35312296534.1449","43140533617.6216","49929490244.5478","51184181904.4289","59667003515.1962","65039839448.5561","69058343420.1602","71831696727.8086","70097956089.2877","74711922906.3738","77417896456.4508","81889326057.2074","81007485782.9604","67092181811.7498","","",
"Africa Western and Central","AFW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","361642633202.121","378640214575.828","397179088703.594","402407941191.417","410737461783.805","428422196615.045","456752458703.183","484877052109.187","507973429455.983","523389313994.379","554530418849.404","596516073426.629","662450339869.47","712752482282.724","789588486915.653","861681361509.448","935797224083.793","1012813846896.54","1096990167051.41","1170848284211.76","1266124495207.87","1356174727156.55","1432930558739.83","1530547045576.34","1649191913643.89","1667574959268.27","1682119249141.33","1748083112870.44","1844122422136.59","1940149738282.2","1949933674051.54","2119536613911.61","2355032771004.94","",
"Angola","AGO","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38835439389.8242","40546779830.1018","39049622587.1717","30387804667.4003","31452407439.8341","36928723189.9361","42698219730.7192","46594068742.1501","49328898270.1625","51115326928.9188","53870124025.8162","57400615762.7073","66261666029.3691","69589731051.4179","79282432863.0497","94058409613.8841","108159616056.934","126645338871.524","143491912187.846","145653570414.479","153887405897.573","162538811659.181","186124222897.173","199865642365.2","220364785384.766","204603587403.35","204874675222.879","217987313632.158","220289370395.961","222666423233.882","212853789199.066","225084114192.847","248269003524.902","",
"Albania","ALB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8378167290.72037","6236092291.13482","5919798413.17299","6639429341.98215","7344244051.42398","8497186825.01757","9440169387.08516","8554317071.30526","9451379192.7027","10792578624.9517","11927662847.3787","13161277091.3997","14497660341.6574","15199103434.5257","16429788447.5628","17663248665.0743","19650707481.8488","21636545418.3971","24251606124.016","25799463197.3653","28043877391.3624","29655430970.0085","30530313572.5231","30603939822.3485","32529299302.5043","33585628604.2049","34739803499.0979","36696822866.8877","38690796100.7993","41723422035.6227","40970517148.2494","45725177899.5695","54154421533.4169","",
"Andorra","AND","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1515411282454.49","1685004452194.21","1809098322360.84","1904924601492.28","2002177806161.55","2098853397611.5","2235145900604.77","2374607917078.66","2534038753601.27","2622482038692.64","2862463351903.65","2975370025197.46","3032458759454.92","3222004915132.17","3611924864928.03","3926605362213.49","4282145882847.78","4588971681054.16","4938525834835.15","4989306322035.98","5285706957750.33","5604897336137.77","6065415693419.9","6182485731607.09","6221555964750.51","5754797766257.79","5697180351060.75","6079633947693.3","6394452473334.41","6613644375972.58","6394419349244.02","6942090474250.54","7885121830406.51","",
"United Arab Emirates","ARE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165033215256.913","172081667406.54","181890466098.311","188550249191.676","205856964046.881","224229750647.753","241575130112.727","265868088872.749","269645579757.193","281381486599.725","318985660394.289","330735682552.056","344064047408.379","381731585963.491","429477224738.714","464450474012","525880743626.572","557291472828.082","586108939845.841","558939438350.577","574723354813.02","623132238940.3","648603907756.64","664072628840.131","696795047339.456","621558729932.59","619289363588.39","645502807620.868","669706320974.818","689276222154.493","663657027481.813","723672844148.331","835435918742.168","",
"Argentina","ARG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234455344931.543","264521270370.093","292023773373.283","323480141867.088","349669909411.917","346844681084.361","372715304230.914","409894951069.898","430467771287.181","421755390917.54","427907425395.381","418257187040.516","378498715336.167","420076980476.696","470302946671.598","527985868655.93","588076130259.074","658372466794.536","698223627731.022","661109513023.278","736799121185.705","797263881242.037","819697901873.041","849616000404.317","839896688260.086","867176759338.262","885227528869.049","1039330591568.54","1036459320093.75","1033942542333.22","943733481517.293","1091827348957.62","1226624979472.29","",
