"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124184217","127476553","130683206","134282253","138265805","142066869","145778581","149739356","154011329","158488355","163192629","168161521","173263011","178493610","183883902","188949908","194072244","199329380","204129336","208230113","214735931","220573585","227241357","233827863","241468428","248638349","255956115","263150918","270995141","276110533","285907674","295773409","305241775",
"Afghanistan","AFG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2643481","2955253","3417831","3752530","3963705","4103075","4240075","4382782","4542724","4590768","4614951","4920862","5312226","5538525","5785543","6068893","6115891","6210225","6504675","6738587","7095658","7520865","7881567","8285362","8630724","8913938","9254593","9242721","9220323","9105733","9356574","8803873","8920521",
"Africa Western and Central","AFW","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76559395","78728732","80927761","83125472","85439637","87874401","90340469","92909129","95484009","98085851","100806155","103583232","106415184","109374526","112323279","115350689","118398117","121338579","124337449","127379233","130618212","133296023","135957197","138886182","142375596","146463779","149976582","154203991","158547164","161605111","166806489","173133251","178686576",
"Angola","AGO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5045804","5203464","5362233","5528824","5712054","5912307","6122419","6338365","6558233","6787512","7031443","7286089","7554547","7838086","8132903","8441929","8762688","9093722","9435748","9793696","10175962","10527326","10886364","11251540","11623549","12011479","12415650","12825924","13246117","13728470","14445598","14746279","15222540",
"Albania","ALB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1417575","1424787","1401938","1381976","1355763","1337782","1352915","1338937","1322053","1315052","1303898","1308103","1294847","1281167","1266465","1249959","1231498","1212147","1258916","1270655","1388801","1328695","1227940","1256110","1308343","1354998","1377319","1409389","1433004","1359716","1382433","1404942","1399098",
"Andorra","AND","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62801257","65048324","67584602","70165608","72108375","74152748","76286832","78363464","81545663","83677296","85349917","86806072","89720114","92650328","95833148","99512207","103656676","107108839","110740785","114992890","117608385","119575052","122749342","124789225","126515524","129341405","130203432","132200574","134937401","134429504","138423434","143524201","145632824",
"United Arab Emirates","ARE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1051322","1124933","1203148","1279952","1359004","1446534","1544100","1652502","1770008","1895208","2027836","2166348","2309920","2458656","2671414","3097126","3769133","4557619","5298911","5685095","5782838","5879032","5973682","6066398","6155854","6244154","6328526","6404956","6479503","6491560","6462165","6588824","6668172",
"Argentina","ARG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13867845","14275486","14697546","15067090","15201443","15563537","15992986","16307035","16410324","16588444","16651214","16491672","16951795","17425150","17545905","17877291","17924078","17966575","18324357","18255867","18663922","18835226","18964106","19049721","19229476","19404277","19580710","20103008","20607477","19406591","21191985","21511126","21842876",
