"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.2912521362305","","","","","","","","","","96.822639465332","","","","","","","","","","97.9899978637695","","","",
"Africa Eastern and Southern","AFE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.8589096069336","57.1661911010742","57.6187515258789","58.1800193786621","58.1411895751953","58.5306396484375","58.9126014709473","59.5268516540527","59.9219398498535","60.434928894043","61.1740608215332","61.4087104797363","62.2584190368652","62.4951782226562","63.4178886413574","63.7494087219238","64.3503036499023","65.6004180908203","63.9424705505371","62.1338691711426","62.8357582092285","63.3095092773438","64.0004196166992","64.6178817749023","66.8296508789062","68.3613510131836","69.3831024169922","69.8347702026367","70.3134231567383","71.0951995849609","71.0090713500977","71.3926162719727","72.6349716186523","72.7856216430664","72.5811614990234","72.6004028320312","",
"Afghanistan","AFG","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","18.1576805114746","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.4488506317139","","","","","","","","","","37.266040802002","","",
"Africa Western and Central","AFW","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","40.2946510314941","40.5508308410645","41.2992706298828","42.0324211120605","42.8251609802246","43.6049385070801","44.8233184814453","45.1633796691895","46.0021705627441","46.8695106506348","47.0176315307617","47.8064498901367","48.8288803100586","50.1755790710449","51.0516586303711","47.0571594238281","48.7626113891602","49.4724502563477","49.4743690490723","51.3834114074707","51.4238204956055","57.4711494445801","50.1195487976074","49.8100395202637","50.6923789978027","51.1569595336914","51.7663116455078","52.4101600646973","53.0027809143066","54.0067596435547","54.8183212280273","55.4379196166992","56.485538482666","59.5684585571289","59.51171875","59.6175117492676","60.034610748291","60.3126983642578","",
"Angola","AGO","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.4054183959961","","","","","","","","","","","","","66.0301132202148","","","","","","","","72.4000015258789","",
"Albania","ALB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7129821777344","","","","","","","95.9386367797852","","","96.8452987670898","97.2469711303711","","","","","","","","","","98.5","",
"Andorra","AND","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","46.4753112792969","46.9482612609863","47.5308685302734","48.111011505127","48.676830291748","48.8991813659668","49.6164398193359","50.5042190551758","51.3067283630371","51.9821090698242","52.9797286987305","53.8549308776855","54.795768737793","55.8139114379883","56.8638610839844","57.6829414367676","58.4487800598145","59.5942916870117","60.8810386657715","61.8283309936523","63.0368881225586","64.1111602783203","64.8062973022461","66.2423477172852","67.3601989746094","69.9890289306641","70.5737762451172","70.2333297729492","69.1274108886719","69.8765869140625","70.676628112793","69.5803909301758","70.5184173583984","72.2774963378906","75.7018890380859","73.276481628418","77.5778732299805","74.9812088012695","76.3867263793945","77.1703033447266","74.2861328125","74.6036605834961","75.0228805541992","75.2311782836914","75.1715316772461","",
"United Arab Emirates","ARE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","53.5148811340332","","","","","","","","","","71.2352981567383","","","","","","","","","","","","","","","","","","","","90.0338516235352","","","","","","","","","","","","","","97.7825088500977","","98.1263580322266","98.2854080200195","",
"Argentina","ARG","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","93.9128570556641","","","","","","","","","","","96.0407180786133","","","","","","","","","","97.1933135986328","","","","","","","","","","","","","","","","","","","","","","",
